QueryId,DocumentId
303,APW19990826.0244
303,NYT20000218.0252
303,NYT19981024.0065
303,APW19991013.0171
303,APW19990103.0035
303,XIE19970513.0108
303,NYT19991215.0229
303,NYT19991222.0420
303,NYT19991216.0309
303,NYT19990310.0333
303,NYT19990310.0503
303,NYT19991115.0396
303,APW19990224.0040
303,APW19990224.0042
303,APW19990311.0166
303,APW19990310.0063
303,APW19990310.0167
303,NYT19990909.0337
303,NYT19991215.0237
303,NYT19991222.0449
303,NYT19991223.0360
303,NYT19991220.0383
303,NYT19991206.0115
303,NYT19991213.0349
303,NYT19990107.0373
303,NYT19991227.0400
303,NYT19991105.0298
303,NYT19991219.0272
303,NYT19991115.0309
303,NYT19991214.0327
303,NYT19990211.0114
303,NYT19990108.0368
303,NYT19981008.0331
303,NYT19981008.0371
303,APW19990414.0120
303,APW19990414.0141
303,APW19990414.0198
303,APW19990210.0167
303,APW19990210.0168
303,APW19990210.0356
303,APW19990210.0359
303,APW19991007.0315
303,APW19990209.0343
303,APW19990209.0357
303,APW19990209.0359
303,APW19980609.1531
303,XIE19970221.0084
303,XIE19970211.0046
303,XIE19990416.0045
303,XIE19981010.0047
303,NYT19991223.0308
303,NYT19991223.0384
303,NYT19990120.0443
303,NYT19991221.0351
303,NYT19990723.0219
303,NYT19990723.0236
303,NYT19980601.0308
303,APW19990624.0050
303,APW19990624.0293
303,APW19990718.0024
303,APW19991006.0154
303,APW19991006.0285
303,APW19990516.0013
303,APW19990516.0127
303,APW19990428.0195
303,XIE20000522.0056
303,NYT19990128.0367
303,NYT19990813.0203
303,NYT19991001.0187
303,NYT19990601.0311
303,NYT19991210.0254
303,NYT19991210.0256
303,NYT19991209.0105
303,NYT19991209.0260
303,NYT19991215.0196
303,NYT19991222.0148
303,NYT19991222.0212
303,NYT19991222.0245
303,NYT19991222.0338
303,NYT19990823.0238
303,NYT19990525.0139
303,NYT19990525.0163
303,NYT19990525.0302
303,NYT19990525.0358
303,NYT19990520.0073
303,NYT19990419.0260
303,NYT19990419.0268
303,NYT19991106.0022
303,NYT19990402.0052
303,NYT19990402.0053
303,NYT19990402.0056
303,NYT19990402.0057
303,NYT19990402.0060
303,NYT19990402.0061
303,NYT19991117.0127
303,NYT19991117.0128
303,NYT19991117.0134
303,NYT19991117.0135
303,NYT19990415.0315
303,NYT19990314.0069
307,XIE19971106.0004
307,XIE19961203.0196
307,NYT19980827.0378
307,NYT19980923.0435
307,XIE19961006.0133
307,XIE19960305.0207
307,XIE19990501.0067
307,XIE19980918.0161
307,NYT20000801.0357
307,NYT19990301.0066
307,NYT19990301.0067
307,NYT19990227.0080
307,NYT19990227.0081
307,NYT19990312.0334
307,NYT19991224.0195
307,NYT19991029.0218
307,NYT19990712.0395
307,NYT19990208.0420
307,NYT19991023.0118
307,NYT19990330.0282
307,NYT19991122.0261
307,NYT20000211.0274
307,NYT20000211.0327
307,NYT20000515.0362
307,NYT20000705.0070
307,NYT19980711.0073
307,NYT19980715.0039
307,NYT19980728.0267
307,NYT19980603.0152
307,NYT19980603.0153
307,NYT19980603.0157
307,NYT19980603.0158
307,NYT19981124.0323
307,NYT19980616.0333
307,NYT19980616.0338
307,NYT19980604.0069
307,NYT19980604.0070
307,NYT19980604.0073
307,NYT19980604.0074
307,APW19990701.0083
307,APW19990701.0169
307,APW19990627.0096
307,APW20000412.0013
307,APW20000921.0107
307,APW20000921.0188
307,APW20000531.0175
307,APW19980731.0324
307,APW19981130.0743
307,APW19980915.0811
307,APW19980910.0573
307,APW19981111.0561
307,XIE19971217.0154
307,XIE19970925.0279
307,XIE19970212.0050
307,XIE19970307.0157
307,XIE19970323.0146
307,XIE19970621.0161
307,XIE19970306.0116
307,XIE19970502.0182
307,XIE19971020.0084
307,XIE19960528.0202
307,XIE19960308.0121
307,XIE19960726.0192
307,XIE19961127.0049
307,XIE19960913.0269
307,XIE19961118.0175
307,XIE19960412.0138
307,XIE19960929.0108
307,XIE19991001.0340
307,XIE19991017.0017
307,XIE19990831.0094
307,XIE19991215.0009
307,XIE20000728.0086
307,XIE20000821.0199
307,XIE20000821.0217
307,XIE20000228.0166
307,XIE20000518.0370
307,XIE20000202.0158
307,XIE20000904.0217
307,XIE20000703.0032
307,XIE20000824.0267
307,XIE19981201.0195
307,XIE19980310.0277
307,XIE19981007.0271
307,XIE19980702.0209
307,XIE19961017.0153
307,XIE20000627.0017
307,XIE19970212.0184
